

 ----- Approach monitoring ----- 
195/571:   6, 125,  0035104126_1.fit,   4X4,   2007 MAR 02 01:16:46.88,   2.967,          2s,   JUPITER  
196/571:   6, 126,  0035104129_1.fit,   4X4,   2007 MAR 02 01:16:49.89,   2.967,          3s,   JUPITER  
197/571:   6, 127,  0035104132_1.fit,   4X4,   2007 MAR 02 01:16:52.89,   2.967,          2s,   JUPITER  
198/571:   6, 128,  0035104203_1.fit,   4X4,   2007 MAR 02 01:18:03.88,   2.967,      1m 10s,   JUPITER  
199/571:   6, 129,  0035104206_1.fit,   4X4,   2007 MAR 02 01:18:06.89,   2.967,          3s,   JUPITER  
200/571:   6, 130,  0035104209_1.fit,   4X4,   2007 MAR 02 01:18:09.89,   2.967,          2s,   JUPITER  
201/571:   6, 131,  0035104212_1.fit,   4X4,   2007 MAR 02 01:18:12.89,   2.967,          2s,   JUPITER  
202/571:   6, 132,  0035104283_1.fit,   4X4,   2007 MAR 02 01:19:23.89,   2.967,      1m 11s,   JUPITER  
203/571:   6, 133,  0035104286_1.fit,   4X4,   2007 MAR 02 01:19:26.89,   2.967,          2s,   JUPITER  
204/571:   6, 134,  0035104289_1.fit,   4X4,   2007 MAR 02 01:19:29.88,   2.967,          2s,   JUPITER  
205/571:   6, 135,  0035104292_1.fit,   4X4,   2007 MAR 02 01:19:32.88,   2.967,          2s,   JUPITER  
206/571:   6, 136,  0035104363_1.fit,   4X4,   2007 MAR 02 01:20:43.89,   2.967,      1m 11s,   JUPITER  
207/571:   6, 137,  0035104366_1.fit,   4X4,   2007 MAR 02 01:20:46.88,   2.967,          2s,   JUPITER  
208/571:   6, 138,  0035104369_1.fit,   4X4,   2007 MAR 02 01:20:49.88,   2.967,          2s,   JUPITER  
209/571:   6, 139,  0035104372_1.fit,   4X4,   2007 MAR 02 01:20:52.89,   2.967,          3s,   JUPITER  
210/571:   6, 140,  0035104443_1.fit,   4X4,   2007 MAR 02 01:22:03.88,   2.967,      1m 10s,   JUPITER  
211/571:   6, 141,  0035104446_1.fit,   4X4,   2007 MAR 02 01:22:06.88,   2.967,          2s,   JUPITER  
